stage,stage_name,rank_within_stage,feature_1,feature_1_low,feature_1_high,feature_2,feature_2_low,feature_2_high,coverage,precision,lift,distinctiveness_index
0,Awake,1,Index_W,0.5855883598327637,0.8963485598564148,EOG,0.11755180060863497,0.6986186027526858,0.35766133274110784,0.6541602531212588,2.5473353360605997,0.5534220184928441
0,Awake,2,Index_W,0.5855883598327637,0.8963485598564148,Index_R,0.25792511105537413,0.5704055666923523,0.39806903323086273,0.6022068185033244,2.3450258573044107,0.5354131426876791
0,Awake,3,Index_W,0.5855883598327637,0.8963485598564148,Aperiodic,0.11288828104734422,0.5578142762184144,0.3839023763047468,0.5932267678136006,2.31005705519147,0.5029340165828041
0,Awake,4,Index_W,0.5855883598327637,0.8963485598564148,Index_2,0.3479590594768524,0.7522882342338563,0.398185919839164,0.5441939967092126,2.1191207978092503,0.44561814428681545
0,Awake,5,Aperiodic,0.11288828104734422,0.5578142762184144,EOG,0.11755180060863497,0.6986186027526858,0.35814056783514314,0.5686816756064514,2.2144771412364306,0.4349535329852166
0,Awake,6,Index_1,0.5175955653190613,0.8467923998832703,EOG,0.11755180060863497,0.6986186027526858,0.3534417261814314,0.5707867713681667,2.222674497761873,0.4321441850469711
0,Awake,7,Aperiodic,0.11288828104734422,0.5578142762184144,Index_R_noEOG,0.20179941058158876,0.5444429755210877,0.3706474349233808,0.5407018381475293,2.10552214386955,0.40975894687624553
0,Awake,8,Aperiodic,0.11288828104734422,0.5578142762184144,Index_1,0.5175955653190613,0.8467923998832703,0.4352039086881816,0.4963010357100012,1.9326230225015095,0.40588118472524287
0,Awake,9,Index_W,0.5855883598327637,0.8963485598564148,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.39575467838649725,0.516348441407918,2.0106887024124838,0.39998478237211876
0,Awake,10,Index_W,0.5855883598327637,0.8963485598564148,Index_N,0.25405744910240174,0.67580144405365,0.3978937033184108,0.513756621741952,2.0005960167313983,0.3981308546229066
0,Awake,11,Aperiodic,0.11288828104734422,0.5578142762184144,Delta,0.08425303399562836,0.474219024181366,0.3557794583474571,0.5395756146850792,2.1011365689152313,0.3917617720552384
0,Awake,12,Index_W,0.5855883598327637,0.8963485598564148,Index_4,0.3387131989002228,0.7451631784439088,0.39362734211541384,0.49974030599373764,1.946015726632069,0.37237765607356327
0,Awake,13,Index_W,0.5855883598327637,0.8963485598564148,Delta,0.08425303399562836,0.474219024181366,0.3606886958961112,0.5178211840515505,2.016423641762816,0.36661251782540616
0,Awake,14,Aperiodic,0.11288828104734422,0.5578142762184144,Index_2,0.3479590594768524,0.7522882342338563,0.35602492022488985,0.5080903449656369,1.9785312291088897,0.34838150278105584
0,Awake,15,Index_W,0.5855883598327637,0.8963485598564148,Index_1,0.5175955653190613,0.8467923998832703,0.421890524002665,0.466825318813213,1.8178429898586685,0.34504020754337994
0,Awake,16,Aperiodic,0.11288828104734422,0.5578142762184144,Index_R,0.25792511105537413,0.5704055666923523,0.365936904608839,0.49842386805069094,1.9408894462228674,0.34430617152992077
0,Awake,17,Index_W,0.5855883598327637,0.8963485598564148,DFA,0.19657857120037078,0.8164880990982056,0.37602421890524,0.48906185864789675,1.9044332762637786,0.3400888162589945
0,Awake,18,EOG,0.11755180060863497,0.6986186027526858,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.35818732247846363,0.4968948127969386,1.9349352225290741,0.33488194404849564
0,Awake,19,Aperiodic,0.11288828104734422,0.5578142762184144,Index_N,0.25405744910240174,0.67580144405365,0.39790539197924096,0.4680149030067228,1.8224752949198337,0.32726735461831824
0,Awake,20,Index_1,0.5175955653190613,0.8467923998832703,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.46749967856182717,0.42882415379172073,1.6698644020297109,0.3131613926289004
0,Awake,21,Index_1,0.5175955653190613,0.8467923998832703,Index_N,0.25405744910240174,0.67580144405365,0.417074795740652,0.4492313890392678,1.7493312776299041,0.31252718955957404
0,Awake,22,Index_W,0.5855883598327637,0.8963485598564148,Index_R_noEOG,0.20179941058158876,0.5444429755210877,0.4208736105104438,0.44601758949585035,1.7368165687326562,0.3101066495664296
0,Awake,23,Index_R_noEOG,0.20179941058158876,0.5444429755210877,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.3860764672191507,0.4497671505215284,1.7514175617612784,0.2901046376512223
0,Awake,24,Aperiodic,0.11288828104734422,0.5578142762184144,Index_4,0.3387131989002228,0.7451631784439088,0.36086402580856314,0.45155109622500766,1.7583643426248414,0.2736664097092648
0,Awake,25,Index_R_noEOG,0.20179941058158876,0.5444429755210877,Index_R,0.25792511105537413,0.5704055666923523,0.4305518216777904,0.41988692063926314,1.635062333718099,0.2734272446612763
0,Awake,26,Aperiodic,0.11288828104734422,0.5578142762184144,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.4366649912919477,0.41507966489633563,1.6163426203680284,0.2691352449558614
0,Awake,27,Index_1,0.5175955653190613,0.8467923998832703,Index_4,0.3387131989002228,0.7451631784439088,0.3600925741937746,0.4462648298639781,1.7377793360717406,0.26566886031304704
0,Awake,28,Index_1,0.5175955653190613,0.8467923998832703,Index_2,0.3479590594768524,0.7522882342338563,0.3567028625530373,0.4415458517811153,1.719403380695033,0.2566132452242507
0,Awake,29,EOG,0.11755180060863497,0.6986186027526858,Index_R_noEOG,0.20179941058158876,0.5444429755210877,0.3587483781983098,0.4360154563018525,1.697867722177877,0.250358913528262
0,Awake,30,Index_1,0.5175955653190613,0.8467923998832703,Delta,0.08425303399562836,0.474219024181366,0.3758021343494676,0.4261910443012805,1.659610931543372,0.24788319591423977
0,Awake,31,Index_1,0.5175955653190613,0.8467923998832703,Index_R,0.25792511105537413,0.5704055666923523,0.36895257910301216,0.42609341252699784,1.6592307481443258,0.24322488475185725
0,Awake,32,EOG,0.11755180060863497,0.6986186027526858,Index_R,0.25792511105537413,0.5704055666923523,0.34572721003354645,0.43397499853277777,1.6899220694848205,0.23852483222355755
0,Awake,33,Index_N_noEOG,0.1851243793964386,0.581670641899109,Index_2,0.3479590594768524,0.7522882342338563,0.3411803209706264,0.43437951099007394,1.6914972628283944,0.2359252580821012
0,Awake,34,Index_N_noEOG,0.1851243793964386,0.581670641899109,Index_N,0.25405744910240174,0.67580144405365,0.419798253714072,0.3938955241886838,1.533850432970213,0.22410947950539664
0,Awake,35,EOG,0.11755180060863497,0.6986186027526858,Delta,0.08425303399562836,0.474219024181366,0.4116629457763024,0.39490267312522426,1.537772325293209,0.22138093958717434
0,Awake,36,Aperiodic,0.11288828104734422,0.5578142762184144,DFA,0.19657857120037078,0.8164880990982056,0.45129919465126883,0.38075796574065857,1.4826920712315752,0.21783854301136277
0,Awake,37,Index_R,0.25792511105537413,0.5704055666923523,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.3707058782275315,0.40420840661721597,1.5740093538179594,0.21278864161790448
