epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
334,2,N2,100
335,2,N2,100
336,2,N2,100
337,2,N2,100
338,2,N2,100
339,2,N2,100
340,2,N2,100
341,2,N2,100
342,2,N2,100
343,2,N2,100
344,2,N2,100
345,2,N2,100
346,2,N2,100
347,2,N2,100
348,2,N2,100
349,2,N2,100
350,2,N2,100
351,2,N2,100
352,2,N2,100
353,2,N2,100
354,2,N2,100
355,2,N2,100
356,2,N2,100
357,2,N2,100
358,2,N2,100
359,2,N2,100
360,2,N2,100
361,2,N2,100
362,2,N2,100
363,2,N2,100
364,2,N2,100
365,2,N2,100
366,2,N2,100
367,2,N2,100
368,2,N2,100
369,2,N2,100
370,2,N2,100
371,2,N2,100
372,2,N2,100
373,2,N2,100
374,2,N2,100
375,2,N2,100
376,2,N2,100
377,2,N2,100
378,2,N2,100
379,2,N2,100
380,2,N2,100
381,2,N2,100
382,2,N2,100
383,2,N2,100
384,2,N2,100
385,2,N2,100
386,2,N2,100
387,2,N2,100
388,2,N2,100
389,2,N2,100
390,2,N2,100
391,2,N2,100
392,2,N2,100
393,2,N2,100
394,2,N2,100
395,2,N2,100
396,2,N2,100
397,2,N2,100
398,2,N2,100
399,2,N2,100
400,2,N2,100
401,2,N2,100
402,2,N2,100
403,2,N2,100
404,2,N2,100
405,2,N2,100
406,2,N2,100
407,2,N2,100
408,2,N2,100
409,2,N2,100
410,2,N2,100
411,2,N2,100
412,2,N2,100
413,2,N2,100
414,2,N2,100
415,2,N2,100
416,2,N2,100
417,2,N2,100
418,2,N2,100
419,2,N2,100
420,2,N2,100
421,2,N2,100
422,2,N2,100
423,2,N2,100
424,2,N2,100
425,2,N2,100
426,2,N2,100
427,2,N2,100
428,2,N2,100
429,2,N2,100
430,2,N2,100
431,2,N2,100
432,2,N2,100
433,2,N2,100
434,2,N2,100
435,2,N2,100
436,2,N2,100
437,2,N2,100
438,2,N2,100
439,2,N2,100
440,2,N2,100
441,2,N2,100
442,2,N2,100
443,2,N2,100
444,2,N2,100
445,2,N2,100
446,2,N2,100
447,2,N2,100
448,2,N2,100
449,2,N2,100
450,2,N2,100
451,2,N2,100
452,2,N2,100
453,2,N2,100
454,2,N2,100
455,2,N2,100
456,2,N2,100
457,2,N2,100
458,2,N2,100
459,2,N2,100
460,2,N2,100
461,2,N2,100
462,2,N2,100
463,2,N2,100
464,2,N2,100
465,2,N2,100
466,2,N2,100
467,2,N2,100
468,2,N2,100
469,2,N2,100
470,2,N2,100
471,2,N2,100
472,2,N2,100
473,2,N2,100
474,2,N2,100
475,2,N2,100
476,2,N2,100
477,2,N2,100
478,2,N2,100
479,2,N2,100
480,2,N2,100
481,2,N2,100
482,2,N2,100
483,2,N2,100
484,2,N2,100
485,2,N2,100
486,2,N2,100
487,2,N2,100
488,2,N2,100
489,2,N2,100
490,2,N2,100
491,2,N2,100
492,2,N2,100
493,2,N2,100
494,2,N2,100
495,2,N2,100
496,2,N2,100
497,2,N2,100
498,2,N2,100
499,2,N2,100
500,2,N2,100
501,2,N2,100
502,2,N2,100
503,2,N2,100
504,2,N2,100
505,2,N2,100
