stage,stage_name,rank_within_stage,feature,interval_low,interval_high,coverage,precision,lift,distinctiveness_index,distinctiveness_index_norm_stage
0,Awake,1,Index_W,0.5855883598327637,0.8963485598564148,0.5999906490713359,0.4869698033374759,1.8962866999595769,0.5377636388627522,1.0
0,Awake,2,Aperiodic,0.11288828104734422,0.5578142762184144,0.5999906490713359,0.4028203941018136,1.568604358160537,0.3411572979175309,0.6344000844664786
0,Awake,3,Index_1,0.5175955653190613,0.8467923998832703,0.5999906490713359,0.3732837861423003,1.4535872124326534,0.27214808599792567,0.5060737958658882
0,Awake,4,EOG,0.11755180060863497,0.6986186027526858,0.5999906490713359,0.3549346222194564,1.382134577661882,0.22927717328395344,0.4263530605543032
0,Awake,5,Index_R_noEOG,0.20179941058158876,0.5444429755210877,0.5999906490713359,0.33147569354755385,1.2907842431422678,0.1744678267826464,0.3244321746104035
0,Awake,6,Index_R,0.25792511105537413,0.5704055666923523,0.5999906490713359,0.3313922334484651,1.2904592450113885,0.17427283094315318,0.32406956950771265
0,Awake,7,Index_N_noEOG,0.1851243793964386,0.581670641899109,0.5999906490713359,0.3130721704816448,1.2191199309341911,0.13146990958567165,0.24447526772858907
0,Awake,8,Index_N,0.25405744910240174,0.67580144405365,0.5999906490713359,0.2831149204668299,1.1024647823374536,0.06147791126160194,0.11432143569917395
0,Awake,9,Index_2,0.3479590594768524,0.7522882342338563,0.5999906490713359,0.2817829989295419,1.0972782079764996,0.05836601514431637,0.10853469986878848
0,Awake,10,Delta,0.08425303399562836,0.474219024181366,0.5999906490713359,0.27676920173617664,1.0777542110696845,0.046651799567729656,0.08675149488795411
0,Awake,11,Index_4,0.3387131989002228,0.7451631784439088,0.5999906490713359,0.27542079593074104,1.0725034460787723,0.04350138967271123,0.0808931406457803
0,Awake,12,DFA,0.19657857120037078,0.8164880990982056,0.5999906490713359,0.2592356913069608,1.009477775030625,0.005686576392376776,0.010574490317721352
0,Awake,13,Theta,0.09243661314249041,0.45631093978881837,0.5999906490713359,0.24953210603328002,0.9716914901926461,0.0,0.0
0,Awake,14,MSE,0.26498370170593266,0.9067565560340883,0.5999906490713359,0.24136796023830684,0.9398998657809582,0.0,0.0
0,Awake,15,Index_3,0.3162588775157929,0.7381983876228333,0.5999906490713359,0.2264949345193971,0.8819835008120611,0.0,0.0
1,N1,1,EOG,0.05000000074505806,0.15811192989349365,0.80000540891389,0.14692573994327804,1.323778029267151,0.25902417470120065,1.0
1,N1,2,Index_W,0.37862467765808105,0.763146698474884,0.6000108178277802,0.15482421248028583,1.3949420364268048,0.23696949427101613,0.9148547410463681
1,N1,3,Index_1,0.47439470887184143,0.8134779930114746,0.6000108178277802,0.1523596308098011,1.3727365395003865,0.22364595589992364,0.8634173090519917
1,N1,4,Index_2,0.2058306783437729,0.45722874999046326,0.6000108178277802,0.14979306060994793,1.3496121418118052,0.20977106713102311,0.8098513097204388
1,N1,5,Index_R_noEOG,0.3408217430114746,0.6947346925735474,0.6000108178277802,0.14957895943312904,1.3476831235606634,0.20861363531255084,0.805382878077688
1,N1,6,Index_N_noEOG,0.2242669016122818,0.5742504000663757,0.6000108178277802,0.14955072766614314,1.3474287597379748,0.20846101426727362,0.804793662629156
1,N1,7,Delta,0.05236256122589111,0.146558478474617,0.6000108178277802,0.14866684982544076,1.3394651580809092,0.203682767124163,0.786346553788359
1,N1,8,Aperiodic,0.2602565586566925,0.7036455869674683,0.6000108178277802,0.13435149636053145,1.2104860533620472,0.1262939090191037,0.4875757606979774
1,N1,9,Index_4,0.23514603078365326,0.5287877321243286,0.6000108178277802,0.12940291281955568,1.16590008653237,0.09954184659798689,0.38429558442880535
1,N1,10,Index_R,0.2306656837463379,0.5750745534896851,0.6000108178277802,0.12904163928133125,1.162645068231004,0.09758880040493989,0.3767555693112977
1,N1,11,MSE,0.34631413221359253,0.8674126267433167,0.6000108178277802,0.1280540244148798,1.1537468121317613,0.0922497504855922,0.3561434008698517
1,N1,12,Theta,0.10223731398582458,0.39980393648147583,0.6000108178277802,0.12765027070879098,1.1501090541353618,0.09006705633511296,0.34771679685500595
1,N1,13,Index_3,0.36476778984069824,0.6644344925880432,0.6000108178277802,0.12746325937331235,1.148424111134727,0.08905607230730894,0.3438137479254215
1,N1,14,Index_N,0.1885162889957428,0.5673786997795105,0.6000108178277802,0.12543605226407947,1.1301592908723777,0.07809698256421925,0.30150460919066197
1,N1,15,DFA,0.19919061660766602,0.7183504104614258,0.6000108178277802,0.12217229454393269,1.1007533422315927,0.06045309527126017,0.23338785015335464
2,N2,1,Index_N_noEOG,0.4745564222335815,0.7556130528450012,0.5999939049012213,0.6274280159982153,1.5925456078965272,0.3555237531139053,1.0
2,N2,2,EOG,0.05000000074505806,0.13969755470752718,0.7999969524506106,0.558711476247233,1.418128430499423,0.3345014701324954,0.9408695402282315
2,N2,3,Aperiodic,0.5462306380271912,0.8667325139045715,0.5999939049012213,0.5820989296907338,1.47749075623503,0.2864915433876928,0.8058295426913558
2,N2,4,Delta,0.0706953525543213,0.23719180822372438,0.5999939049012213,0.523046983966738,1.3276043718170902,0.1965606263092476,0.5528762131577521
2,N2,5,MSE,0.20461138188838962,0.6156458735466004,0.5999939049012213,0.5093229163298172,1.292769772340558,0.17566007894365296,0.494088165432293
2,N2,6,Index_1,0.24557647109031677,0.6241564869880676,0.5999939049012213,0.5046782276566565,1.2809805656779887,0.1685866268024905,0.47419230171233445
2,N2,7,Index_W,0.13035974204540254,0.5861910343170166,0.5999939049012213,0.4904770802192327,1.2449350363074536,0.1469595288812315,0.41336064776000364
2,N2,8,Index_4,0.20515880286693575,0.47727411389350893,0.5999939049012213,0.4900345353287079,1.2438117633522587,0.1462855719545742,0.41146497434647117
2,N2,9,Index_2,0.2684119284152985,0.56002756357193,0.5999939049012213,0.47886630222616794,1.2154644149363327,0.1292773356849073,0.3636250308245606
2,N2,10,Theta,0.2050985038280487,0.5477810025215148,0.5999939049012213,0.476205161696055,1.2087098748852572,0.12522465282385078,0.35222584068449114
2,N2,11,DFA,0.11134338974952698,0.4827953517436983,0.5999939049012213,0.47536006181111395,1.2065648318274405,0.12393764006341007,0.3486057935029225
2,N2,12,Index_N,0.07764406502246857,0.439630401134491,0.5999939049012213,0.46414215830730243,1.1780914093801187,0.1068537601433394,0.30055308318345975
