label,0,1,2,3,4,6
0,0.000000,0.037355,0.025929,0.126151,0.048369,0.792126
1,0.037355,0.000000,0.046783,0.124896,0.038780,0.811345
2,0.025929,0.046783,0.000000,0.120351,0.049482,0.797319
3,0.126151,0.124896,0.120351,0.000000,0.096640,0.849714
4,0.048369,0.038780,0.049482,0.096640,0.000000,0.809187
6,0.792126,0.811345,0.797319,0.849714,0.809187,0.000000
