stage_id,stage_name,n1_centroid_distance
0,Awake,0.6123350262641907
1,N1,0.0
2,N2,0.39276739954948425
3,N3,0.9332078099250793
4,REM,0.3084036111831665
6,Unknown,0.7034664750099182
