stage_id,stage_name,n1_mean_sample_distance
0,Awake,1.2460528406702365
1,N1,0.9588146544915805
2,N2,0.9884326361040009
3,N3,1.3519759901560386
4,REM,1.04920951141776
6,Unknown,1.1459976882756424
