stage_id,stage_name,n1_mean_sample_distance
0,Awake,1.3176208387588189
1,N1,1.3174880967308888
2,N2,1.3177647865956412
3,N3,1.3171331383292517
4,REM,1.319182662014547
5,Movement,1.3177136618120948
6,Unknown,1.3088817373499542
