stage_id,stage_name,n1_centroid_distance
0,Awake,0.011439758352935314
1,N1,0.0
2,N2,0.009568758308887482
3,N3,0.01320376805961132
4,REM,0.010180288925766945
5,Movement,0.009765254333615303
6,Unknown,0.16656821966171265
