state_id,count,dominant_label_id,dominant_label_name,dominant_count,purity,entropy_bits
0,1702,2,N2,646,0.3795534665099882,2.347311455323656
1,816,2,N2,274,0.33578431372549017,2.3995316392173764
2,4781,2,N2,1754,0.3668688558878896,2.3344016067395774
3,50,2,N2,20,0.4,2.3161182137696397
4,771,2,N2,264,0.3424124513618677,2.3710574278588474
5,4725,2,N2,1783,0.37735449735449733,2.3264474601738496
6,2257,2,N2,791,0.3504652193176783,2.372632611850632
7,1,2,N2,1,1.0,-1.4428232973175175e-12
8,1333,2,N2,477,0.35783945986496624,2.3362651420619964
9,30,2,N2,10,0.3333333333333333,2.290107480132599
10,308,2,N2,104,0.33766233766233766,2.3669579689478133
11,851,2,N2,297,0.3490011750881316,2.4010064927125403
12,672,2,N2,241,0.3586309523809524,2.345130991393505
13,2040,2,N2,699,0.3426470588235294,2.394865773443251
14,178,2,N2,79,0.4438202247191011,2.213418612818337
15,71,2,N2,28,0.39436619718309857,2.2591587870131207
16,2066,2,N2,725,0.35091965150048404,2.3517359040101122
17,755,2,N2,284,0.376158940397351,2.338333779311257
18,457,2,N2,169,0.36980306345733044,2.3295607706892416
19,1286,2,N2,445,0.34603421461897355,2.3540732300643943
20,1262,2,N2,480,0.3803486529318542,2.3110549060213357
21,5396,2,N2,1964,0.36397331356560414,2.341320150104569
22,190,2,N2,71,0.3736842105263158,2.3031687388118463
23,180,2,N2,54,0.3,2.416244683571175
24,3817,2,N2,1360,0.356300759758973,2.349479049512516
25,53,2,N2,23,0.4339622641509434,2.2077081903603526
26,38,2,N2,18,0.47368421052631576,2.1836451973503035
27,4068,2,N2,1471,0.36160275319567353,2.341842610413103
28,783,2,N2,274,0.3499361430395913,2.3408691261448586
29,1347,2,N2,494,0.36674090571640683,2.3331891494073256
30,4,1,N1,2,0.5,0.9999999999971146
31,7,4,REM,2,0.2857142857142857,2.235926350621819
32,2146,2,N2,769,0.35834109972041006,2.3461116873598615
33,4126,2,N2,1527,0.37009209888511874,2.339905342010998
34,6301,2,N2,2188,0.3472464688144739,2.366358904415138
35,202,2,N2,78,0.38613861386138615,2.3248637895494966
36,551,2,N2,204,0.3702359346642468,2.32252269490665
37,2866,2,N2,1035,0.3611304954640614,2.3309444224828217
38,836,2,N2,320,0.3827751196172249,2.257340142720783
39,17,2,N2,8,0.47058823529411764,1.7574839898071093
40,1034,2,N2,377,0.3646034816247582,2.3324407230446513
41,55,2,N2,21,0.38181818181818183,2.3644642526057322
42,251,2,N2,87,0.3466135458167331,2.39774419483641
43,107,2,N2,41,0.38317757009345793,2.3320779591903444
44,107,2,N2,45,0.4205607476635514,2.149114841923246
45,162,2,N2,63,0.3888888888888889,2.291234483710873
46,21,2,N2,11,0.5238095238095238,1.877620503382321
47,225,2,N2,89,0.39555555555555555,2.2905697137024688
48,1851,2,N2,699,0.37763371150729336,2.3245380677504546
49,2051,2,N2,759,0.3700633837152609,2.3457981716290877
50,234,2,N2,85,0.36324786324786323,2.3039110245548065
51,500,2,N2,200,0.4,2.25446100841077
52,339,2,N2,128,0.3775811209439528,2.337788728249536
53,1741,2,N2,628,0.3607122343480758,2.3574123881271665
54,21,2,N2,9,0.42857142857142855,2.004747637656422
55,142,2,N2,58,0.4084507042253521,2.2883972285680754
56,3525,2,N2,1302,0.36936170212765956,2.3404422069523805
57,42,2,N2,15,0.35714285714285715,2.416510295586019
58,39,2,N2,18,0.46153846153846156,2.0584115125604425
59,325,2,N2,123,0.37846153846153846,2.3044995227020006
60,84,2,N2,29,0.34523809523809523,2.2784057946498053
61,106,2,N2,35,0.330188679245283,2.394998710505818
