label,0,1,2,3,4,5,6
0,0.000000,0.011440,0.006963,0.008941,0.007370,0.011889,0.161436
1,0.011440,0.000000,0.009569,0.013204,0.010180,0.009765,0.166568
2,0.006963,0.009569,0.000000,0.009000,0.007767,0.013853,0.159991
3,0.008941,0.013204,0.009000,0.000000,0.009912,0.012470,0.161543
4,0.007370,0.010180,0.007767,0.009912,0.000000,0.013917,0.158715
5,0.011889,0.009765,0.013853,0.012470,0.013917,0.000000,0.171183
6,0.161436,0.166568,0.159991,0.161543,0.158715,0.171183,0.000000
