stage_id,stage_name,n1_centroid_distance
0,Awake,0.0001236749958479777
1,N1,0.0
2,N2,0.00021047632617410272
3,N3,0.0009427614859305322
4,REM,0.00021062843734398484
6,Unknown,0.0014581086579710245
