stage_id,stage_name,n1_mean_sample_distance
0,Awake,0.022844485970671277
1,N1,0.022848281122596063
2,N2,0.022764977607237582
3,N3,0.02298536877165446
4,REM,0.022804302769737505
6,Unknown,0.022286430445725713
